"Category","Files","LOC","Percent"
".tmp_baseline.json","1","14305"
".localreactdoctor.json","1","13797"
"react-doctor-current.json","1","13797"
".tmp_button_check.txt","1","13565"
".tmp_step2.json","1","13549"
".tmp_latest.json","1","13045"
"_react_doctor_report.json","1","13045"
"_current_report.json","1","10509"
"_final_report.json","1","10509"
"_baseline.json","1","10389"
"_fresh_check.json","1","10389"
"_live.json","1","10389"
"_recent.json","1","10389"
"_status.json","1","10389"
"_step_report.json","1","10389"
"_doctor_report.json","1","10197"
"_doctor_v2.json","1","9449"
"_doctor_day2.json","1","9189"
"_doctor_final.json","1","9165"
"_doctor_session2.json","1","9077"
"_doctor_final2.json","1","8898"
"_day3.json","1","7953"
"_day4.json","1","7861"
"_scan_post_fix.json","1","7491"
"_scan_final.json","1","7465"
".local_web.json","1","7449"
"_scan.json","1","7277"
"_scan_day9.json","1","7193"
"packages/ui","153","7077"
"apps/super-admin","39","6280"
"apps/restaurant-dashboard","37","4644"
"infra/scripts","35","4373"
"react-doctor-web.json","1","4304"
"cdm_rerun.json","1","3872"
".local_cdm.json","1","3725"
"cdm_rerun2.json","1","3640"
"apps/launcher","37","3381"
"react-doctor-mobile.json","1","3122"
"scripts","20","2657"
".local_admin.json","1","1872"
".local_admin_rerun.json","1","1728"
".local_resto.json","1","1575"
"loc-report.json","1","1536"
"docs","9","1482"
"react-doctor-admin.json","1","1392"
".local_resto_rerun.json","1","1386"
"infra/postgres","5","1327"
"README.md","1","1021"
"ux/phase-1","14","993"
"infra/k8s","8","987"
"react-doctor-restaurant.json","1","972"
"packages/ux","13","917"
"README_temp.md","1","819"
"apps/driver-app","2","679"
"infra/docs","3","662"
"infra","5","598"
"count-project-loc.js","1","485"
"PLAN.md","1","466"
"loc-report.md","1","417"
"docs/security","2","378"
"ux/phase-2","5","311"
"TESTING_STRATEGY.md","1","305"
"loc-report.csv","1","278"
"compose.infra.yaml","1","264"
"REACT_DOCTOR_SESSION_SUMMARY.md","1","261"
"packages/shared","7","255"
"RELIABILITY_TESTING.md","1","184"
"MASTER_TRACKING_SHEET.md","1","182"
"deleted_js_files.txt","1","181"
"legal","3","179"
"PROJECT_STATUS_REPORT.md","1","175"
"README_AUDIT_REPORT.md","1","175"
"ux","1","173"
"UX_PHASE_1_Figma_Architecture_PLAN.md","1","151"
"PRODUCTION_READINESS_SUMMARY.md","1","141"
"UX_PHASE_1_TODO.md","1","141"
"FrontendGaps","2","131"
"eslint.config.cjs","1","130"
"compose.dev.yaml","1","129"
"SECURITY_NOTICE.md","1","122"
"infra/prometheus","4","121"
"BUSINESS_ENGINE.md","1","111"
"app.module.js","1","98"
"infra/grafana","3","98"
"TODO.md","1","96"
"packages/proto","5","95"
"packages/api-types","3","91"
"__tests__","1","91"
"k8s","1","87"
"PRODUCTION_GAP_CHECKLIST.md","1","84"
"infra/opensearch","1","77"
"LEGAL_trademark-search.md","1","77"
"AGENTS.md","1","73"
"V1_SCOPE.md","1","64"
"INTERNAL_ALPHA_TESTING.md","1","63"
"CONTRIBUTING.md","1","52"
"Dockerfile","1","51"
"app.module.ts","1","49"
".eslintrc.cjs","1","48"
"packages/grpc-transport","3","42"
"infra/envoy","1","41"
"secrets","21","39"
".tmp_fix_labels.py","1","36"
"infra/alertmanager","1","33"
"playwright.config.ts","1","33"
".storybook","2","28"
"package.json","1","27"
"IMPLEMENTATION_SUMMARY.md","1","21"
"infra/filebeat","1","17"
"compose.debug.yaml","1","11"
"compose.yaml","1","8"
"backup","1","0"
